Sum of Slot,What,When,Who
490,00C745C0323067C779BF92AB75A8E581C9A2F85D652639F81F31CE5FAFEA71EF,2024-06-05 18:39:43 UTC,penumbra145xvammk2vnl8y4qxuqplevsg7gtvludtsyf7kvllyzmpuks9mqpdkq08d7hzqvavuu99ulurm7kjllvesk7397uawpcsxfs3qhw4ljqnduufysf6jk9ds3vs0ntx754fc75z5
116,00E9EA41FFC0FB5C6CF0448870EDE173A324C9CC8607BC2D2D494F4BB4AD1F07,2024-06-05 05:08:31 UTC,penumbra1mt8kkjlxj7xqy0pj3k97cl3r9js8jn96g7llsfdagtqum0x4rf3lfp587c89l8hy4sqglq2r5x2u4lj33zllypa7rn2pcr0sjsl7l2rd2fa0jrpha4d59dtxx333auxtf4cwmh
686,013D8345E1041E94893B4EC296A62391EB95AD26561D37A5669E2E744166E000,2024-06-06 03:17:58 UTC,penumbra1vxejufrhl43amxmjx6cpu7js009wh3reaye6yh25ekqr47raq0rvkcvh9dzmlrk9m8g2ktrja42qtajavvjpxhrj7353l736zlh380sxzgtkknf6lnp6tfc4xt7uveguaxepqy
414,01811FB8155D79A8BCF25737D3C3F5DEEDA3C544BAB9C9873383A3BC5F1DD542,2024-06-05 14:45:23 UTC,penumbra1y06e8p5qpqw387kdpxnn6tqldnvc70alwzzjv3j5r9vfg8en3w8x3g6qgkf06p58k6du98er9mdqtdqvtunpjnc64pjszufmnd69ny94q34ss90dx3dv0c6h7l8e4zk4y4eh5f
712,0194C2754E14980A30FD5F420714ACCCBBD2CEDC87C4A3982D10DE09226D0CCE,2024-06-06 04:12:48 UTC,penumbra17z9zr5rds5rk2csz8g855au9qve6pwgl3l78mdd00v3yp8wt50ck5q49hmx84kv5qe9pt5wkpz9y2vp5arelvmke3d2qlhjkh5h69d8zhe9uqdzg0a2ly2pkcnnw5wzh4qqzva
104,027C6EED37F0F23D208624502815B32F245C1F769F0DD6196E3CD6313872B4DC,2024-06-05 04:28:49 UTC,penumbra1vxmyvypas7y77jqff9gcjpfjqmlqr5vjp5wdera577cn22ay02x98w0zkmaxpjnhpsxghmpwzme3a3sww0lf5ta82e3tdhhulcltf7mkjta0xj0cqa9wfhf2tp0qkr7xz55pdt
83,029522C0147286657EA478ED85322956933DBFF94C7F6507B8F1DDFC430094CB,2024-06-05 03:39:47 UTC,penumbra1e2l9g6mvmks9wytrsqfszvs8x5jx97arkyyccj2jl0jvcplxmudqcwet3fyxkrzzksmaxu2qfjgvt69ndn7jhrmqv4gnhmw02gvycmppy2eslvpufad06jg4zgxvv2428hk7sm
760,029E6A2245CFF8DD1EF420A1EFF3E517511EEE794D8E6FDA75A8FB04B9FEC060,2024-06-06 06:03:57 UTC,penumbra1wzg6fz4j7vngamtrqmlsg2cv9hupfv5wxj7jn7gc209s7fncj06jt5tpnsq4cxlgllvgke3tn4l37vm4rqddakqt0egjwpqxhsek0a6qcjncv3n7ah2fu5vxvmgn898wew2cn8
449,02BF8E6CFD55F38041A18D1C69FDF5AA4E04EB9C211CFAB7438DEEB6107535ED,2024-06-05 16:51:00 UTC,penumbra1dtszlfsrhpwq3n02xhd4ecw4e7smum3xsnemwn7qnkn6u3aee7qupv38afu38azef2qzk43guylvpaayncnfs4465l6g6dmq8u5qel9cdf5555l6mz7enrael8r7vla96k5xjx
651,02CEAAB2319A5C43137D90AA18BC182D392E6ED6CA201777D448B235CCF8A5FB,2024-06-06 01:57:42 UTC,penumbra10evdh4rjq73mx038al9v2t8zwkg7m9up0emd35t9ayckjezlrx3l4pvgtwl89fp8dt2tzmce4w3ncmpq2mmlwamx3dv6u7flgeyp93kq5hya52c8y448rgu6eyqlkwmhh5wjly
219,02D779DC8F411D6E7DBE67B3E02FF7CA6A69290D39ADF50C1221FEF36B4B8FAA,2024-06-05 08:34:39 UTC,penumbra1fnfvw2sch4rx3ynk9qel0k6up5vd3hyrzxljaeumj943vmy8wm9h3mh390tqp3kmpwt7aga8r6qk7lv5ue94jeujdjl24zvvw3c93w535405r5m6f4marty9tj0fqnjnjsj7c8
321,0329A2DE2A0231AD531CB0885F149D27E0ED1FFC9DEDECB9C38BA81FF80E2FFF,2024-06-05 11:43:33 UTC,penumbra1pl28r7hfdglhec6zsyge4e7mkzrhjgjpx8rgjjamqen6cu2wuz5uk8u63sedfvr76krchz297mtn4rq0u3wxvfxz44j9a577yg8tpp7xaa3v4mwle6sjw98wt6wfc8e664gyf0
99,03CF755A484CE5CF46CBDC20EECBF73F824E1B2E38965DF6136B481D908AEC79,2024-06-05 04:16:31 UTC,penumbra18yw3f3qfmzv488dzew39ym2zx5cmvqazr0mxd3l7sej50z4csq3nr7ea58779s0kmpzgprl34es6nwa30wrfysj38lx9lew2apsqkwseyxgftxnkulfme977qhpdqfarxslspr
499,03ED5BBC6253CA564C55F584C056F1A0C602D77C5FBFA5597F523F1D15B654D6,2024-06-05 19:12:23 UTC,penumbra1n34keq5w69c8lhgl2l5twl82c0e4l7xyg32fc2xa5m8ml88tzvem7decm4de9ccj7pqhvwjvgg3r0fcj4narujcsxtnae2xx0cu45wgy8auqxjmncl0g0qzyk5cez9elvj5dk2
668,044EA56D9247F5BC188B8C83F42F214FB000C165EA114DBE156E469D66973189,2024-06-06 02:34:46 UTC,penumbra1g7x3p4vyh9s7lnrms5wqksw4x45h8lvuh3pge7lg4hl7a4fn7z6samnttxq33zu6wsvxjs9gnmm5g73zgds8tpl6q7ytpzjx8julxkd0epz30xx4qlh40wr7jefkp60lfa6m24
28,0462644F7E6DE3F7ADDC7C33397884C5AC7553F0411ADBB9A8DC50E07DCEEDE8,2024-06-05 01:47:35 UTC,penumbra1r4neawj24xqvwq6e5an8ka3l8haasmd0es3fvkqt3krft62yv5pqf2j74mpdzy4n6e8luk9qk3v7542l5hv2xsd5uhpx2na38386tmxh3c7d0y0zsp0f6sww5lk205jqes3x04
505,0481DE4D5C69FC1DFBC08BFFE444EAE6935F2014F784168172A029DD14CF381B,2024-06-05 19:33:42 UTC,penumbra1g724th9anac48d48lx0pcgvkdmrjxwhytresahc8498vu92qyxraqh4xsl9mz2fz6akvwqzfqdykzcm5al4xqse0ehhledq82f4d0e756wa09m28q8ghv6vfkuh5tdms5r3akl
